product_id,category,price,launch_date
P00120,Fashion,21.12,2025-05-07
P00121,Fashion,30.88,2025-05-19
P00122,Fashion,16.87,2025-06-21
P00123,Electronics,46.31,2025-04-15
P00124,Beauty,11.71,2025-04-20
P00125,Electronics,34.26,2025-05-15
P00126,Beauty,7.75,2025-02-15
P00127,Home & Kitchen,8.39,2025-02-25
P00128,Electronics,55.26,2025-04-23
P00129,Electronics,23.21,2025-01-12
P00130,Fashion,14.73,2025-02-27
P00131,Electronics,19.37,2025-05-10
P00132,Books,6.39,2025-06-25
P00133,Fashion,16.72,2025-04-04
P00134,Home & Kitchen,17.36,2025-03-13
P00135,Fashion,21.43,2025-03-21
P00136,Electronics,44.32,2025-05-04
P00137,Books,13.92,2025-04-09
P00138,Beauty,17.89,2025-01-05
P00139,Sports,40.85,2025-04-08
P00140,Electronics,22.36,2025-03-14
P00141,Beauty,15.68,2025-05-07
P00142,Beauty,26.75,2025-06-07
P00143,Books,21.29,2025-06-23
P00144,Fashion,9.53,2025-04-20
P00145,Beauty,13.96,2025-03-07
P00146,Home & Kitchen,44.41,2025-03-21
P00147,Home & Kitchen,30.29,2025-02-01
P00148,Beauty,17.54,2025-06-18
P00149,Beauty,14.57,2025-06-02
P00150,Electronics,30.42,2025-06-03
P00151,Sports,22.87,2025-03-01
P00152,Books,10.76,2025-02-27
P00153,Electronics,35.47,2025-06-04
P00154,Fashion,18.73,2025-04-09
P00155,Electronics,26.65,2025-05-07
P00156,Fashion,22.97,2025-03-30
P00157,Home & Kitchen,89.45,2025-03-21
P00158,Fashion,8.13,2025-04-24
P00159,Sports,23.24,2025-05-27
P00160,Sports,14.27,2025-03-02
P00161,Electronics,46.88,2025-05-26
P00162,Books,12.31,2025-02-13
P00163,Home & Kitchen,33.96,2025-03-14
P00164,Electronics,61.36,2025-06-14
P00165,Fashion,19.71,2025-06-21
P00166,Home & Kitchen,40.11,2025-06-16
P00167,Sports,6.99,2025-02-26
P00168,Sports,41.09,2025-06-01
P00169,Home & Kitchen,28.53,2025-06-18
P00170,Books,19.57,2025-06-26
P00171,Home & Kitchen,13.92,2025-01-04
P00172,Beauty,11.06,2025-05-15
P00173,Home & Kitchen,25.74,2025-06-29
P00174,Books,11.96,2025-05-18
P00175,Electronics,41.07,2025-02-11
P00176,Electronics,58.9,2025-05-18
P00177,Beauty,7.26,2025-01-19
P00178,Books,18.68,2025-03-28
P00179,Books,12.1,2025-04-23
P00180,Sports,18.33,2025-03-24
P00181,Books,6.22,2025-05-06
P00182,Books,15.11,2025-02-13
P00183,Beauty,5.42,2025-04-20
P00184,Home & Kitchen,32.27,2025-04-27
P00185,Sports,10.26,2025-04-25
P00186,Fashion,18.52,2025-02-22
P00187,Home & Kitchen,22.84,2025-02-24
P00188,Electronics,61.2,2025-02-16
P00189,Sports,18.53,2025-03-25
P00190,Home & Kitchen,17.64,2025-04-16
P00191,Books,9.59,2025-03-07
P00192,Home & Kitchen,42.74,2025-03-15
P00193,Electronics,46.02,2025-02-21
P00194,Sports,16.89,2025-02-09
P00195,Electronics,32.5,2025-04-29
P00196,Electronics,17.86,2025-05-27
P00197,Fashion,21.53,2025-02-22
P00198,Books,5.46,2025-06-04
P00199,Home & Kitchen,33.81,2025-04-13
P00200,Home & Kitchen,25.54,2025-01-31
P00201,Sports,58.8,2025-03-07
P00202,Books,7.35,2025-01-02
P00203,Beauty,15.34,2025-01-08
P00204,Electronics,81.21,2025-03-02
P00205,Electronics,61.8,2025-03-23
P00206,Home & Kitchen,17.62,2025-05-24
P00207,Electronics,39.99,2025-01-25
P00208,Fashion,18.09,2025-06-01
P00209,Electronics,41.04,2025-02-12
P00210,Beauty,11.73,2025-01-25
P00211,Fashion,17.36,2025-05-06
P00212,Fashion,8.81,2025-05-20
P00213,Home & Kitchen,25.61,2025-04-19
P00214,Sports,24.59,2025-01-21
P00215,Fashion,16.32,2025-01-21
P00216,Sports,9.71,2025-03-12
P00217,Electronics,56.41,2025-03-23
P00218,Electronics,42.6,2025-06-29
P00219,Books,8.69,2025-02-21
P00220,Beauty,14.16,2025-02-04
P00221,Home & Kitchen,12.27,2025-06-20
P00222,Beauty,10.13,2025-01-28
P00223,Fashion,14.19,2025-01-05
P00224,Books,20.95,2025-03-18
P00225,Home & Kitchen,18.08,2025-03-14
P00226,Books,16.08,2025-04-22
P00227,Electronics,28.38,2025-06-07
P00228,Fashion,20.21,2025-06-17
P00229,Fashion,16.96,2025-02-22
P00230,Electronics,53.55,2025-06-26
P00231,Electronics,28.42,2025-04-24
P00232,Beauty,7.92,2025-01-13
P00233,Books,6.47,2025-06-18
P00234,Fashion,14.23,2025-01-25
P00235,Books,6.87,2025-04-16
P00236,Sports,24.16,2025-05-23
P00237,Beauty,13.03,2025-02-14
P00238,Sports,58.47,2025-02-18
P00239,Electronics,16.54,2025-03-27
P00240,Electronics,39.62,2025-06-09
P00241,Sports,12.09,2025-02-10
P00242,Sports,16.09,2025-04-30
P00243,Home & Kitchen,25.69,2025-03-23
P00244,Beauty,5.64,2025-01-21
P00245,Fashion,20.11,2025-05-08
P00246,Books,28.37,2025-05-30
P00247,Fashion,14.74,2025-04-14
P00248,Beauty,18.06,2025-02-01
P00249,Home & Kitchen,38.23,2025-01-29
P00250,Beauty,14.93,2025-03-18
P00251,Fashion,13.92,2025-04-02
P00252,Books,4.33,2025-04-10
P00253,Beauty,21.44,2025-02-13
P00254,Home & Kitchen,22.91,2025-04-01
P00255,Home & Kitchen,15.28,2025-02-23
P00256,Sports,21.26,2025-05-04
P00257,Sports,15.45,2025-05-24
P00258,Electronics,28.5,2025-04-28
P00259,Electronics,47.49,2025-01-01
P00260,Fashion,9.9,2025-06-28
P00261,Electronics,57.92,2025-01-05
P00262,Sports,10.71,2025-06-29
P00263,Home & Kitchen,17.89,2025-01-06
P00264,Electronics,85.89,2025-04-03
P00265,Books,20.02,2025-01-20
P00266,Electronics,37.78,2025-01-18
P00267,Home & Kitchen,15.79,2025-05-04
P00268,Electronics,28.49,2025-05-12
P00269,Electronics,37.37,2025-01-22
P00270,Electronics,36.77,2025-06-25
P00271,Electronics,34.71,2025-02-27
P00272,Electronics,35.66,2025-02-27
P00273,Electronics,32.83,2025-02-23
P00274,Fashion,9.45,2025-03-25
P00275,Fashion,14.33,2025-02-02
P00276,Beauty,24.25,2025-03-18
P00277,Home & Kitchen,13.02,2025-02-07
P00278,Beauty,14.75,2025-01-10
P00279,Books,8.33,2025-03-08
P00280,Sports,21.12,2025-05-02
P00281,Electronics,30.35,2025-05-18
P00282,Home & Kitchen,46.86,2025-03-05
P00283,Home & Kitchen,30.27,2025-02-28
P00284,Home & Kitchen,13.36,2025-05-22
P00285,Fashion,24.45,2025-05-03
P00286,Beauty,11.34,2025-05-30
P00287,Electronics,27.89,2025-06-13
P00288,Home & Kitchen,27.76,2025-05-28
P00289,Beauty,12.88,2025-06-18
P00290,Electronics,54.03,2025-03-16
P00291,Sports,14.17,2025-03-13
P00292,Electronics,27.36,2025-02-27
P00293,Books,8.97,2025-02-12
P00294,Electronics,28.03,2025-05-15
P00295,Sports,32.94,2025-05-09
P00296,Books,15.99,2025-05-25
P00297,Books,26.01,2025-01-31
P00298,Sports,55.73,2025-03-30
P00299,Sports,12.63,2025-02-09
P00300,Fashion,18.66,2025-06-10
P00301,Sports,11.83,2025-02-18
P00302,Electronics,25.48,2025-01-26
P00303,Beauty,12.1,2025-04-13
P00304,Beauty,9.99,2025-06-08
P00305,Sports,12.51,2025-06-14
P00306,Beauty,15.06,2025-01-18
P00307,Beauty,9.29,2025-02-28
P00308,Fashion,26.41,2025-01-28
P00309,Home & Kitchen,15.95,2025-02-25
P00310,Electronics,128.01,2025-04-07
P00311,Beauty,13.11,2025-02-20
P00312,Beauty,16.6,2025-01-13
P00313,Home & Kitchen,13.46,2025-04-02
P00314,Home & Kitchen,51.94,2025-01-10
P00315,Home & Kitchen,39.89,2025-02-10
P00316,Home & Kitchen,27.55,2025-01-01
P00317,Home & Kitchen,13.15,2025-01-16
P00318,Fashion,19.87,2025-03-20
P00319,Home & Kitchen,14.55,2025-06-03
P00320,Books,23.27,2025-05-20
P00321,Books,17.35,2025-01-18
P00322,Beauty,16.77,2025-01-07
P00323,Home & Kitchen,8.05,2025-03-02
P00324,Beauty,10.32,2025-04-28
P00325,Sports,27.37,2025-05-15
P00326,Fashion,31.2,2025-05-29
P00327,Sports,33.09,2025-03-03
P00328,Beauty,7.85,2025-01-31
P00329,Fashion,20.7,2025-01-05
P00330,Home & Kitchen,38.07,2025-01-27
P00331,Sports,9.52,2025-01-12
P00332,Home & Kitchen,24.02,2025-06-04
P00333,Fashion,20.45,2025-02-18
P00334,Books,10.53,2025-05-29
P00335,Electronics,15.71,2025-04-10
P00336,Fashion,15.61,2025-04-08
P00337,Electronics,31.2,2025-03-23
P00338,Sports,18.79,2025-05-28
P00339,Electronics,28.06,2025-01-08
P00340,Books,9.87,2025-01-17
P00341,Electronics,35.51,2025-03-18
P00342,Books,14.71,2025-03-13
P00343,Sports,17.51,2025-04-09
P00344,Fashion,15.03,2025-05-13
P00345,Sports,20.94,2025-04-16
P00346,Sports,8.46,2025-02-16
P00347,Books,14.94,2025-02-28
P00348,Home & Kitchen,24.1,2025-05-16
P00349,Fashion,18.4,2025-02-06
P00350,Electronics,55.71,2025-04-01
P00351,Fashion,7.51,2025-04-07
P00352,Electronics,14.87,2025-05-16
P00353,Fashion,20.45,2025-05-09
P00354,Fashion,18.02,2025-03-25
P00355,Beauty,17.35,2025-02-25
P00356,Beauty,13.05,2025-03-08
P00357,Sports,27.08,2025-03-16
P00358,Sports,30.56,2025-02-09
P00359,Beauty,19.98,2025-04-23
P00360,Fashion,16.08,2025-02-07
P00361,Books,4.67,2025-04-27
P00362,Electronics,51.11,2025-05-16
P00363,Electronics,62.65,2025-06-23
P00364,Electronics,48.32,2025-01-22
P00365,Fashion,12.17,2025-05-17
P00366,Beauty,21.76,2025-01-16
P00367,Sports,29.58,2025-03-02
P00368,Fashion,36.46,2025-02-01
P00369,Home & Kitchen,16.25,2025-01-30
P00370,Books,10.88,2025-02-01
P00371,Sports,28.11,2025-01-08
P00372,Home & Kitchen,24.73,2025-05-29
P00373,Home & Kitchen,14.58,2025-01-12
P00374,Home & Kitchen,29.05,2025-03-13
P00375,Electronics,46.91,2025-05-06
P00376,Electronics,37.61,2025-06-28
P00377,Books,13.3,2025-06-03
P00378,Beauty,14.3,2025-01-25
P00379,Beauty,31.25,2025-06-27
P00380,Sports,13.39,2025-04-28
P00381,Fashion,13.88,2025-02-02
P00382,Books,12.11,2025-03-22
P00383,Sports,29.83,2025-06-15
P00384,Beauty,8.19,2025-03-12
P00385,Home & Kitchen,13.37,2025-02-03
P00386,Books,4.82,2025-06-07
P00387,Fashion,18.34,2025-06-21
P00388,Books,7.29,2025-06-25
P00389,Electronics,30.41,2025-06-22
P00390,Sports,27.05,2025-06-07
P00391,Fashion,13.54,2025-03-23
P00392,Electronics,40.12,2025-02-04
P00393,Fashion,15.8,2025-04-22
P00394,Fashion,24.46,2025-02-09
P00395,Electronics,44.77,2025-03-27
P00396,Beauty,11.77,2025-04-29
P00397,Sports,18.62,2025-06-20
P00398,Home & Kitchen,38.55,2025-02-22
P00399,Beauty,19.18,2025-02-15
P00400,Beauty,8.57,2025-05-13
P00401,Home & Kitchen,32.37,2025-01-02
P00402,Books,7.4,2025-04-12
P00403,Sports,37.93,2025-05-15
P00404,Electronics,57.32,2025-04-10
P00405,Books,13.73,2025-03-11
P00406,Books,12.93,2025-05-30
P00407,Home & Kitchen,21.94,2025-03-08
P00408,Sports,27.26,2025-05-08
P00409,Electronics,30.6,2025-03-25
P00410,Books,13.4,2025-01-05
P00411,Fashion,26.76,2025-04-06
P00412,Fashion,14.04,2025-01-09
P00413,Electronics,27.4,2025-06-17
P00414,Books,7.04,2025-04-19
P00415,Electronics,22.39,2025-03-08
P00416,Home & Kitchen,10.59,2025-03-29
P00417,Electronics,50.21,2025-04-22
P00418,Sports,45.33,2025-02-16
P00419,Home & Kitchen,45.77,2025-02-21
P00420,Books,5.8,2025-03-17
P00421,Fashion,25.05,2025-02-16
P00422,Electronics,68.56,2025-05-17
P00423,Electronics,29.44,2025-01-19
P00424,Electronics,37.84,2025-05-29
P00425,Fashion,7.32,2025-03-04
P00426,Sports,22.65,2025-04-12
P00427,Home & Kitchen,14.94,2025-01-29
P00428,Sports,21.97,2025-03-11
P00429,Electronics,17.91,2025-05-16
P00430,Sports,25.64,2025-02-18
P00431,Books,19.11,2025-01-24
P00432,Sports,14.12,2025-04-04
P00433,Fashion,10.84,2025-01-30
P00434,Sports,7.61,2025-02-26
P00435,Electronics,32.07,2025-03-23
P00436,Home & Kitchen,18.55,2025-04-12
P00437,Electronics,17.99,2025-04-26
P00438,Beauty,19.7,2025-05-02
P00439,Sports,16.4,2025-06-01
P00440,Fashion,11.14,2025-01-12
P00441,Sports,15.65,2025-03-07
P00442,Electronics,58.55,2025-01-01
P00443,Sports,26.35,2025-01-02
P00444,Home & Kitchen,22.73,2025-02-08
P00445,Home & Kitchen,31.85,2025-04-18
P00446,Fashion,10.72,2025-06-11
P00447,Books,12.23,2025-05-20
P00448,Fashion,19.32,2025-04-27
P00449,Electronics,29.26,2025-05-21
P00450,Fashion,21.99,2025-01-31
P00451,Electronics,25.45,2025-06-01
P00452,Books,15.16,2025-06-10
P00453,Fashion,23.17,2025-01-18
P00454,Electronics,9.73,2025-03-26
P00455,Electronics,61.77,2025-05-30
P00456,Home & Kitchen,6.12,2025-03-27
P00457,Books,9.13,2025-06-01
P00458,Beauty,25.49,2025-06-18
P00459,Sports,17.41,2025-03-27
P00460,Fashion,9.35,2025-01-11
P00461,Fashion,11.05,2025-03-03
P00462,Electronics,57.39,2025-02-08
P00463,Books,5.08,2025-03-27
P00464,Home & Kitchen,40.06,2025-04-16
P00465,Fashion,17.63,2025-03-25
P00466,Fashion,10.57,2025-02-05
P00467,Fashion,13.9,2025-02-24
P00468,Books,7.62,2025-05-03
P00469,Electronics,53.39,2025-01-05
P00470,Beauty,22.34,2025-02-08
P00471,Beauty,7.41,2025-06-10
P00472,Beauty,13.4,2025-01-18
P00473,Electronics,24.52,2025-03-16
P00474,Electronics,64.71,2025-02-07
P00475,Home & Kitchen,13.13,2025-01-19
P00476,Home & Kitchen,49.61,2025-03-18
P00477,Beauty,15.83,2025-04-04
P00478,Fashion,10.72,2025-02-01
P00479,Fashion,13.33,2025-01-15
P00480,Beauty,11.2,2025-01-25
P00481,Beauty,9.05,2025-04-28
P00482,Home & Kitchen,25.15,2025-06-04
P00483,Fashion,10.4,2025-02-02
P00484,Home & Kitchen,9.04,2025-02-27
P00485,Electronics,30.48,2025-03-03
P00486,Beauty,7.14,2025-03-06
P00487,Beauty,11.45,2025-02-13
P00488,Home & Kitchen,16.01,2025-01-10
P00489,Fashion,12.21,2025-04-05
P00490,Fashion,44.48,2025-03-06
P00491,Fashion,18.54,2025-03-03
P00492,Fashion,20.19,2025-02-17
P00493,Fashion,8.13,2025-06-17
P00494,Home & Kitchen,17.96,2025-04-20
P00495,Sports,22.13,2025-03-17
P00496,Fashion,11.4,2025-02-06
P00497,Beauty,24.18,2025-05-25
P00498,Fashion,10.52,2025-06-09
P00499,Home & Kitchen,21.19,2025-01-06
P00500,Beauty,12.34,2025-06-17
P00501,Sports,21.63,2025-05-06
P00502,Books,9.03,2025-01-18
P00503,Books,10.67,2025-05-16
P00504,Beauty,14.45,2025-01-20
P00505,Beauty,11.55,2025-01-10
P00506,Sports,24.99,2025-01-21
P00507,Home & Kitchen,26.83,2025-03-24
P00508,Sports,19.3,2025-04-22
P00509,Beauty,13.24,2025-03-15
P00510,Electronics,51.74,2025-01-22
P00511,Electronics,32.51,2025-02-05
P00512,Sports,17.5,2025-06-03
P00513,Electronics,37.9,2025-06-23
P00514,Home & Kitchen,51.72,2025-05-16
P00515,Home & Kitchen,13.19,2025-01-19
P00516,Electronics,51.12,2025-05-28
P00517,Home & Kitchen,10.28,2025-05-05
P00518,Sports,22.15,2025-04-05
P00519,Electronics,73.45,2025-01-26
P00520,Sports,25.03,2025-06-29
P00521,Sports,21.69,2025-03-21
P00522,Home & Kitchen,18.73,2025-01-08
P00523,Electronics,36.66,2025-02-07
P00524,Fashion,16.14,2025-03-14
P00525,Electronics,25.38,2025-01-12
P00526,Home & Kitchen,21.16,2025-02-28
P00527,Books,13.18,2025-03-26
P00528,Books,8.53,2025-06-20
P00529,Sports,13.97,2025-01-16
P00530,Home & Kitchen,13.07,2025-04-14
P00531,Fashion,21.55,2025-06-14
P00532,Fashion,23.1,2025-05-26
P00533,Beauty,17.83,2025-06-16
P00534,Fashion,27.91,2025-01-31
P00535,Electronics,37.61,2025-05-25
P00536,Home & Kitchen,28.75,2025-06-26
P00537,Beauty,18.42,2025-02-28
P00538,Electronics,34.69,2025-03-31
P00539,Electronics,28.47,2025-04-06
P00540,Sports,54.4,2025-03-30
P00541,Books,9.83,2025-02-22
P00542,Fashion,13.4,2025-06-24
P00543,Sports,24.42,2025-06-22
P00544,Books,13.5,2025-03-10
P00545,Electronics,19.21,2025-05-25
P00546,Beauty,26.63,2025-03-13
P00547,Beauty,15.4,2025-05-24
P00548,Electronics,21.93,2025-04-16
P00549,Sports,34.29,2025-03-26
P00550,Beauty,21.29,2025-01-24
P00551,Beauty,9.1,2025-04-28
P00552,Electronics,80.44,2025-02-27
P00553,Home & Kitchen,32.42,2025-02-09
P00554,Books,12.0,2025-02-04
P00555,Electronics,73.95,2025-06-26
P00556,Home & Kitchen,25.89,2025-01-19
P00557,Home & Kitchen,23.8,2025-05-24
P00558,Beauty,11.94,2025-06-05
P00559,Fashion,23.49,2025-01-06
P00560,Beauty,19.91,2025-04-17
P00561,Electronics,36.39,2025-04-14
P00562,Home & Kitchen,16.89,2025-03-06
P00563,Sports,21.29,2025-05-01
P00564,Fashion,17.52,2025-03-15
P00565,Fashion,9.92,2025-03-21
P00566,Fashion,9.32,2025-03-19
P00567,Sports,25.9,2025-05-25
P00568,Electronics,11.21,2025-04-24
P00569,Home & Kitchen,26.44,2025-03-10
P00570,Beauty,12.96,2025-06-16
P00571,Home & Kitchen,43.42,2025-05-25
P00572,Sports,16.09,2025-06-17
P00573,Beauty,21.62,2025-05-12
P00574,Sports,16.8,2025-03-12
P00575,Sports,21.14,2025-05-20
P00576,Beauty,22.39,2025-03-01
P00577,Books,9.79,2025-02-18
P00578,Fashion,28.31,2025-03-23
P00579,Sports,12.84,2025-06-24
P00580,Home & Kitchen,27.52,2025-04-13
P00581,Beauty,24.34,2025-03-11
P00582,Beauty,21.63,2025-03-25
P00583,Electronics,85.64,2025-02-22
P00584,Beauty,11.4,2025-04-29
P00585,Books,6.48,2025-03-05
P00586,Fashion,11.56,2025-04-10
P00587,Electronics,48.67,2025-03-08
P00588,Home & Kitchen,30.16,2025-02-27
P00589,Home & Kitchen,25.24,2025-06-24
P00590,Electronics,21.81,2025-03-04
P00591,Books,17.02,2025-01-13
P00592,Beauty,9.26,2025-03-10
P00593,Home & Kitchen,40.6,2025-04-06
P00594,Fashion,65.4,2025-01-18
P00595,Electronics,42.64,2025-02-25
P00596,Home & Kitchen,31.33,2025-01-30
P00597,Fashion,14.48,2025-04-01
P00598,Fashion,8.0,2025-05-11
P00599,Books,9.19,2025-06-24
P00600,Fashion,11.05,2025-03-12
P00601,Beauty,8.38,2025-06-05
P00602,Sports,43.6,2025-02-08
P00603,Books,13.63,2025-05-21
P00604,Sports,23.83,2025-04-12
P00605,Books,10.49,2025-05-17
P00606,Sports,18.58,2025-05-16
P00607,Books,18.6,2025-04-06
P00608,Electronics,35.63,2025-02-16
P00609,Sports,25.5,2025-04-05
P00610,Beauty,14.71,2025-05-29
P00611,Fashion,15.5,2025-06-24
P00612,Fashion,9.6,2025-06-16
P00613,Books,4.95,2025-02-02
P00614,Books,10.71,2025-04-18
P00615,Home & Kitchen,24.72,2025-01-19
P00616,Sports,11.26,2025-05-01
P00617,Sports,19.78,2025-06-28
P00618,Home & Kitchen,24.69,2025-01-10
P00619,Electronics,13.7,2025-04-29
P00620,Electronics,23.95,2025-06-20
P00621,Sports,24.13,2025-06-02
P00622,Beauty,19.13,2025-03-12
P00623,Books,7.17,2025-01-19
P00624,Beauty,17.26,2025-06-16
P00625,Books,19.09,2025-06-15
P00626,Beauty,22.79,2025-04-15
P00627,Sports,19.24,2025-06-26
P00628,Electronics,29.29,2025-01-01
P00629,Fashion,13.62,2025-04-21
P00630,Sports,24.79,2025-01-07
P00631,Books,13.16,2025-06-18
P00632,Sports,26.66,2025-05-03
P00633,Electronics,38.36,2025-06-14
P00634,Home & Kitchen,34.84,2025-04-12
P00635,Electronics,37.73,2025-01-15
P00636,Electronics,51.46,2025-01-05
P00637,Fashion,26.75,2025-03-02
P00638,Fashion,12.59,2025-05-14
P00639,Sports,8.9,2025-01-28
P00640,Books,24.14,2025-06-03
P00641,Sports,22.54,2025-02-13
P00642,Sports,9.29,2025-03-31
P00643,Electronics,26.22,2025-02-06
P00644,Home & Kitchen,34.11,2025-03-25
P00645,Fashion,15.94,2025-03-23
P00646,Sports,15.95,2025-01-01
P00647,Electronics,67.91,2025-04-13
P00648,Beauty,10.03,2025-05-22
P00649,Fashion,12.62,2025-06-18
P00650,Electronics,39.76,2025-03-01
P00651,Beauty,19.15,2025-06-08
P00652,Books,15.07,2025-06-08
P00653,Fashion,27.24,2025-06-27
P00654,Home & Kitchen,26.36,2025-03-09
P00655,Sports,25.03,2025-06-03
P00656,Home & Kitchen,21.45,2025-04-12
P00657,Sports,20.66,2025-01-11
P00658,Home & Kitchen,25.3,2025-02-18
P00659,Fashion,19.91,2025-05-01
P00660,Beauty,22.75,2025-01-29
P00661,Home & Kitchen,30.94,2025-03-20
P00662,Books,12.29,2025-05-20
P00663,Home & Kitchen,16.75,2025-01-27
P00664,Electronics,37.27,2025-03-31
P00665,Home & Kitchen,23.8,2025-02-08
P00666,Fashion,19.72,2025-04-07
P00667,Sports,54.21,2025-02-13
P00668,Books,9.52,2025-06-23
P00669,Home & Kitchen,29.15,2025-01-14
P00670,Beauty,25.99,2025-06-23
P00671,Electronics,37.78,2025-05-23
P00672,Fashion,51.76,2025-06-04
P00673,Books,10.17,2025-06-03
P00674,Fashion,20.92,2025-02-03
P00675,Fashion,12.62,2025-06-17
P00676,Beauty,13.72,2025-04-17
P00677,Books,13.48,2025-06-23
P00678,Beauty,23.52,2025-06-08
P00679,Electronics,41.74,2025-04-15
P00680,Home & Kitchen,42.48,2025-03-09
P00681,Electronics,34.64,2025-01-22
P00682,Home & Kitchen,20.76,2025-01-19
P00683,Electronics,122.07,2025-03-12
P00684,Beauty,19.19,2025-05-26
P00685,Fashion,13.08,2025-04-01
P00686,Home & Kitchen,17.64,2025-03-28
P00687,Beauty,10.51,2025-02-14
P00688,Books,18.37,2025-04-12
